plant_name,plant_code,unique_id,ba_id,nameplate
,,Ardenville Wind (ARD1)*1WT34,AESO,34
,,Ardenville Wind (ARD1)*2WT34,AESO,34
,,Blackspring Ridge (BSR1)*1WT150,AESO,150
,,Blackspring Ridge (BSR1)*2WT150,AESO,150
,,Blue Trail Wind (BTR1)*1WT66,AESO,66
,,Buffalo Atlee Wind Farm 11WT18,AESO,18
,,Buffalo Atlee Wind Farm 21WT14,AESO,14
,,Buffalo Atlee Wind Farm 31WT17,AESO,17
,,BUL1 Bull Creek (BUL1)*1WT13,AESO,13
,,BUL2 Bull Creek (BUL2)*2WT16,AESO,16
,,Castle River #1 (CR1)*1WT20,AESO,20
,,Castle River #1 (CR1)*2WT19,AESO,19
,,Castle Rock Ridge 2 (CRR2)*1WT29,AESO,29
,,Castle Rock Wind Farm (CRR1)*1WT77,AESO,77
,,Cowley Ridge (CRE3)*1WT20,AESO,20
,,Cypress Wind Power Project1WT201.6,AESO,201.6
,,Enmax Taber (TAB1)*2WT41,AESO,41
,,Enmax Taber (TAB1)*1WT40,AESO,40
,,Forty Mile Granlea WAGF1WT200,AESO,200
,,Garden Plain Wind1WT131,AESO,131
,,Ghost Pine (NEP1)*5WT21,AESO,21
,,Ghost Pine (NEP1)*1WT16,AESO,16
,,Ghost Pine (NEP1)*2WT16,AESO,16
,,Ghost Pine (NEP1)*4WT16,AESO,16
,,Ghost Pine (NEP1)*3WT13,AESO,13
,,Halkirk Wind Power Facility (H4WT75,AESO,75
,,Halkirk Wind Power Facility (H7WT75,AESO,75
,,Jenner Wind Power Project1WT122,AESO,122
,,Jenner Wind Power Project 21WT180,AESO,180
,,Jenner Wind Power Project 31WT106,AESO,106
,,Kettles Hill (KHW1)*1WT63,AESO,63
,,Lanfine North Wind WAGF1WT145,AESO,145
,,McBride Lake Windfarm (AKE1)*3WT18.5,AESO,18.5
,,McBride Lake Windfarm (AKE1)*4WT18.5,AESO,18.5
,,McBride Lake Windfarm (AKE1)*1WT18,AESO,18
,,McBride Lake Windfarm (AKE1)*2WT18,AESO,18
,,Oldman 2 Wind Farm 1 (OWF1)*1WT46,AESO,46
,,Rattlesnake Ride Wind (RTL1)1WT130,AESO,130
,,Riverview (RIV1)*1WT105,AESO,105
,,Soderglen Wind (GWW1)*1WT36,AESO,36
,,Soderglen Wind (GWW1)*2WT35,AESO,35
,,Stirling Wind Project1WT115,AESO,115
,,Summerview 1 (IEW1)*1WT33,AESO,33
,,Summerview 1 (IEW1)*2WT33,AESO,33
,,Summerview 2 (IEW2)*4WT33,AESO,33
,,Suncor Chin Chute (SCR3)*1WT30,AESO,30
,,Suncor Magrath (SCR2)*1WT30,AESO,30
,,Wheatland WAGF1WT120,AESO,120
,,Whitla (WHT1)*1WT202,AESO,202
,,Whitla (WHT2)*1WT151,AESO,151
,,Wind1_C1WT50,AESO,50
,,Wind1_NW1WT50,AESO,50
,,Wind1_S11WT200,AESO,200
,,Wind1_S21WT200,AESO,200
,,Wind10_S11WT100,AESO,100
,,Wind11_S21WT50,AESO,50
,,Wind12_C1WT50,AESO,50
,,Wind13_S21WT100,AESO,100
,,Wind14_S11WT50,AESO,50
,,Wind15_C1WT50,AESO,50
,,Wind2_C1WT100,AESO,100
,,Wind2_NE1WT50,AESO,50
,,Wind2_S11WT50,AESO,50
,,Wind2_S21WT200,AESO,200
,,Wind3_C1WT100,AESO,100
,,Wind3_S11WT50,AESO,50
,,Wind3_S21WT100,AESO,100
,,Wind4_C1WT50,AESO,50
,,Windrise (WRW1)1WT207,AESO,207
,,Wintering Hills (SCR4)*1WT16,AESO,16
,,Wintering Hills (SCR4)*1WT16,AESO,16
,,Wintering Hills (SCR4)*1WT14.4,AESO,14.4
,,Wintering Hills (SCR4)*1WT14.4,AESO,14.4
